Category	Status	Name	Description	Formula	Source system	Testing
FTE	implemented	fte_offices_collected	The amount of ftes working in offices where data for energy consumption has been collected		SuccessFactors Phase 1	Not tested
	implemented	fte_total	OX2 workforce measured in full time equivalents (base level is country)		SuccessFactors Phase 1	Not tested
Electricity - Office + Company Car	implemented	electricity_consumption_collected_re	Electricity consumption in offices with renewable energy contracts (proof needed)		Data from energy invoices	
	implemented	electricity_consumption_collected_ss	Electricity consumption in offices without renewable energy contracts where a supplier-specific emission intensity figure (gCO2e/kWh) can be provided (proof needed)		Data from energy invoices	
	implemented	electricity_consumption_collected_rgrid	Electricity consumption in offices without renewable energy contracts		Data from energy invoices	
	implemented	electricity_consumption_collected	The amount of electricity consumption which is collected from OX2 offices as either renewable, supplier-specific emission factor or residual grid	electricity_consumption_collected_re + electricity_consumption_collected_ss + electricity_consumption_collected_rgrid		
	implemented	electricity_consumption_per_fte	Consumption of electricity per FTE (with global as proxy if country has no consumption, but does have FTE)	"if office consumption => electricity_consumption_collected:country / fte_offices_collected:country
if no office consumption for electricty ór HC =>electricity_consumption_collected:global / fte_offices_collected:global"		
	implemented	electricity_consumption_total_office	Electricity consumption in offices	fte_total * electricity_consumption_per_fte		
	implemented	electricity_consumption_total	Electricity consumption in offices	electricity_consumption_total_office + cc_energy_consumption_electricity		
	implemented	electricity_consumption_extrapolated	Amount of electricity consumption that is extrapolated	electricity_consumption_total - electricity_consumption_collected		
	implemented	electricity_re_ghg_intensity	ghg emission intensity for renewable  electricity		Data from energy invoices	
	implemented	electricity_ss_ghg_intensity	Supplier-specific ghg emission intensity for electricity		Data from energy invoices	
	implemented	electricity_rgrid_ghg_intensity	ghg emission intensity for the residual grid in respective market		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_grid_ghg_intensity	ghg emission intensity for the grid in respective market (electricity production)		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_ss_share_re	supplier-specific share of electricity deriving from renewable energy sources		Data from energy invoices	
	implemented	electricity_rgrid_share_re	Share of electricity deriving from renewable energy sources in the residual grid		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_ss_share_coal	supplier-specific share of electricity deriving from coal		Data from energy invoices	
	implemented	electricity_rgrid_share_coal	Share of electricity deriving from coal in the residual grid		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_ss_share_oil	supplier-specific share of electricity deriving from oil		Data from energy invoices	
	implemented	electricity_rgrid_share_oil	Share of electricity deriving from oil in the residual grid		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_ss_share_gas	supplier-specific share of electricity deriving from gas		Data from energy invoices	
	implemented	electricity_rgrid_share_gas	Share of electricity deriving from gas in the residual grid		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_ss_share_otherfossil	supplier-specific share of electricity deriving from other fossil sources or undefined fossil sources		Data from energy invoices	
	implemented	electricity_rgrid_share_otherfossil	Share of electricity deriving from other fossil sources or undefined fossil sources in the residual grid		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_ss_share_nuclear	supplier-specific share of electricity deriving from nuclear		Data from energy invoices	
	implemented	electricity_rgrid_share_nuclear	Share of electricity deriving from nuclear in the residual grid		AIB - European Residual Mix + Australia (manual look-up)	
	implemented	electricity_ss_share_other	supplier-specific share of electricity deriving from other sources		Data from energy invoices	
	implemented	electricity_rgrid_share_other	Share of electricity deriving from other sources in the residual grid		AIB - European Residual Mix + Australia (manual look-up)	
	unused	share_re_electricity	share of electricity consumed in OX2 offices from renewable sources	(electricity_consumption_collected_re + electricity_consumption_collected_ss * electricity_ss_share_re + electricity_consumption_collected_rgrid * electricity_rgrid_share_re ) / electricity_consumption_collected		
Heating & cooling - Office	implemented	hc_consumption_re	Energy consumption from district heating and/or cooling from renewable energy contract (proof needed)		Data from energy invoices	
	implemented	hc_consumption_ss	Energy consumption from district heating and/or cooling with supplier-specific emission factor (proof needed)		Data from energy invoices	
	implemented	hc_consumption_rgrid	Energy consumption from district heating and/or cooling (residual grid)		Data from energy invoices	
	implemented	hc_consumption_collected	Energy consumption for heating and cooling that is collected, either from undefined energy contracts, or re contracts or contracts which provide supplier-specific information. 	hc_consumption_re + hc_consumption_ss + hc_consumption_rgrid		
	implemented	hc_consumption_per_fte	Consumption of heating/cooling per FTE	"if office consumption => hc_consumption_collected:country / fte_offices_collected:country
if no office consumption for either electricity or HC => hc_consumption_collected:global / fte_offices_collected:global"		
	implemented	hc_consumption_total	Electricity consumption in offices	fte_total * hc_consumption_per_fte		
	implemented	hc_consumption_extrapolated	Amount of electricity consumption that is extrapolated	hc_consumption_total - hc_consumption_collected		
	implemented	hc_re_ghg_intensity	ghg emission intensity for renewable heating and cooling (proof needed)		Data from energy invoices	
