Category		Name	Dimensions	Description	ESRS id	Type	UoM	Consolidation	Data Frequency	Report Frequency	Formula	Source system	Source YTD/Periodic	Source Frequency	Source supports dimensions	OX2 supports dimensions
S1-6 Characteristics of OX2 employees	OK	workforce_size	Gender,Country,Workforce Type#Employee.base, Age Group	Characteristics of undertaking's employees - number of employees by gender (& country)	S1-6_01, S1-6_02, S1-6_05, S1-6_09	Source	headcount	Sum	Monthly	Quartely		SuccessFactors				
	OK	workforce_gender_distribution	Gender,Country,Workforce Type#Employee.base, Age Group	Gender distribution of workforce	S1-6_01	Calculated (Dynamic)	%	None	Monthly	Quartely	workforce_size:gender#gender:country#country / workforce_size:gender#total:country#country					
	OK	workforce_size_average	Gender,Country,Workforce Type#Employee.base, Age Group	Average number of employees (headcount)	S1-6_03, S1-6_06, S1-6_10	Calculated (Dynamic)	headcount		Monthly	Monthly	(workforce_size[Start Of Period] + workforce_size[End of Period]) / 2					
	OK	workforce_left	Workforce Type#Employee	Number of employee who have left undertaking	S1-6_11	Source	Count	Sum	Monthly	Monthly		SuccessFactors		Monthly	FALSE	FALSE
	OK	workforce_turnover_rate	Workforce Type#Employee	Percentage of employee turnover	S1_6_12	Calculated (Dynamic)	%	None	Monthly	Monthly	employee_left[Termination_type] / workforce_size_average	SuccessFactors		Monthly	FALSE	FALSE
S1-7 Characteristics of non-employees	OK	non_employee_size	Workforce Type#NonEmployee	Number of non-employees in own workforce	S1-7_01,S1-7_02,S1-7_03	Source	Count	sum	Monthly	Quartely		SuccessFactors		Monthly	FALSE	FALSE
S1-8 Collective bargaining coverage and social dialogue	Manual input.	bargaining_agreements_EEA	Country#EEA	Percentage of total employees covered by collective bargaining agreements in countries with > 50 employees representing > 10% of total employees	S1-8_01	Source	%	None	Monthly	Quartely		Social Manual		Monthly	FALSE	FALSE
	Manual input.	bargaining_agreements_Other	Group, Country#Non EEA	Percentage of own employees covered by collective bargaining agreement	S1-8_02	Source	%	None	Monthly	Quartely		Social Manual		Monthly	FALSE	FALSE
	OK	workers_representation	Group, Country#EEA	Percentage of employees in country with significant employment (in the EEA) covered by workers representatives	S1-8_06	Source	%	None	Monthly	Quartely		Social Manual		Monthly	FALSE	FALSE
S1-9 Diversity metrics	OK.Manual input	top_management_headcount	Gender	Gender distrubution in number of employees (head count) at top management level. Carries over year-over-year.	S1-9_01	Source	headcount	Sum	Monthly	Quartely		Social Manual		Monthly	FALSE	FALSE
